[41:{2360365e,c408140}]1,8,12,15,16,17,18,19,20,21,23,25,26,28,30,32,33,34,35,36,37,39,40,41,42,43,44,45,52,59,61,68,76,77,79,80,83,85,86,87,88,
[41:{23603e53,c408808}]3,4,8,15,16,17,18,19,20,21,23,25,28,29,30,31,32,33,35,36,37,39,40,41,42,43,44,45,52,56,64,68,76,77,78,79,80,83,85,88,89,
[41:{23757e12,c40880d}]1,3,4,7,8,16,18,20,28,29,30,31,32,33,35,36,37,39,40,41,42,43,44,45,52,56,64,65,67,68,69,71,73,75,76,77,78,79,80,85,88,
[41:{23603e56,c408948}]1,4,8,15,16,17,18,19,20,21,23,25,28,30,32,33,35,36,37,39,40,41,42,43,44,45,52,56,59,61,64,68,76,77,78,79,80,83,85,87,88,
[41:{2360764b,c409004}]3,5,8,12,16,17,18,19,20,21,23,26,28,29,30,31,32,33,34,36,37,39,40,41,42,43,44,45,52,55,65,68,75,76,77,79,80,83,86,88,89,
[41:{2360764e,c409144}]1,5,8,12,16,17,18,19,20,21,23,26,28,30,32,33,34,36,37,39,40,41,42,43,44,45,52,55,59,61,65,68,75,76,77,79,80,83,86,87,88,
[41:{23607e43,c40980c}]3,4,5,8,16,17,18,19,20,21,23,28,29,30,31,32,33,36,37,39,40,41,42,43,44,45,52,55,56,64,65,68,75,76,77,78,79,80,83,88,89,
[41:{23607e46,c40994c}]1,4,5,8,16,17,18,19,20,21,23,28,30,32,33,36,37,39,40,41,42,43,44,45,52,55,56,59,61,64,65,68,75,76,77,78,79,80,83,87,88,
[41:{2370361b,c40c001}]3,7,8,12,15,16,17,18,19,20,25,26,28,29,30,31,32,33,34,35,36,39,40,41,42,43,44,45,52,53,67,68,69,76,77,79,80,85,86,88,89,
[41:{2370361e,c40c141}]1,7,8,12,15,16,17,18,19,20,25,26,28,30,32,33,34,35,36,39,40,41,42,43,44,45,52,53,59,61,67,68,69,76,77,79,80,85,86,87,88,
[41:{23703e13,c40c809}]3,4,7,8,15,16,17,18,19,20,25,28,29,30,31,32,33,35,36,39,40,41,42,43,44,45,52,53,56,64,67,68,69,76,77,78,79,80,85,88,89,
